"","Date","Team","Lo","Avg","Hi","PrWL","TrWL","TeamPts","OppPts","Opp","WL"
"3687","2020-03-10","Blazers",0.715,0.76,0.8,"1",1,121,105,"Suns",0.67
"3688","2020-03-10","Bulls",0.576,0.637,0.694,"1",1,108,103,"Cavaliers",0.67
"3689","2020-03-10","Cavaliers",0.274,0.331,0.394,"0",0,103,108,"Bulls",0.67
"3690","2020-03-10","Celtics",0.514,0.561,0.607,"1",1,114,111,"Pacers",0.67
"3691","2020-03-10","Clippers",0.617,0.681,0.739,"1",1,131,107,"Warriors",0.67
"3692","2020-03-10","Grizzlies",0.661,0.711,0.757,"1",0,115,120,"Magic",0.67
"3693","2020-03-10","Knicks",0.225,0.255,0.288,"0",0,115,122,"Wizards",0.67
"3694","2020-03-10","Lakers",0.747,0.794,0.835,"1",0,102,104,"Nets",0.67
"3695","2020-03-10","Magic",0.227,0.262,0.299,"0",1,120,115,"Grizzlies",0.67
"3696","2020-03-10","Mavericks",0.622,0.683,0.738,"1",0,109,119,"Spurs",0.67
"3697","2020-03-10","Nets",0.161,0.202,0.25,"0",1,104,102,"Lakers",0.67
"3698","2020-03-10","Pacers",0.37,0.407,0.446,"0",0,111,114,"Celtics",0.67
"3699","2020-03-10","Rockets",0.702,0.764,0.816,"1",1,117,111,"Timberwolves",0.67
"3700","2020-03-10","Spurs",0.241,0.289,0.343,"0",1,119,109,"Mavericks",0.67
"3701","2020-03-10","Suns",0.185,0.218,0.255,"0",0,105,121,"Blazers",0.67
"3702","2020-03-10","Timberwolves",0.171,0.221,0.282,"0",0,111,117,"Rockets",0.67
"3703","2020-03-10","Warriors",0.247,0.302,0.363,"0",0,107,131,"Clippers",0.67
"3704","2020-03-10","Wizards",0.671,0.719,0.761,"1",1,122,115,"Knicks",0.67
"3681","2020-03-09","Bucks",0.292,0.331,0.372,"0",0,95,109,"Nuggets",0.67
"3682","2020-03-09","Hawks",0.653,0.708,0.758,"1",1,143,138,"Hornets",0.67
"3683","2020-03-09","Hornets",0.223,0.268,0.317,"0",0,138,143,"Hawks",0.67
"3684","2020-03-09","Jazz",0.575,0.623,0.67,"1",0,92,101,"Raptors",0.67
"3685","2020-03-09","Nuggets",0.596,0.639,0.68,"1",1,109,95,"Bucks",0.67
"3686","2020-03-09","Raptors",0.301,0.347,0.396,"0",1,101,92,"Jazz",0.67
"3659","2020-03-08","Bucks",0.685,0.738,0.786,"1",0,131,140,"Suns",0.45
"3660","2020-03-08","Bulls",0.175,0.221,0.276,"0",0,107,110,"Nets",0.45
"3661","2020-03-08","Cavaliers",0.188,0.254,0.333,"0",1,132,129,"Spurs",0.45
"3662","2020-03-08","Celtics",0.688,0.741,0.788,"1",0,104,105,"Thunder",0.45
"3663","2020-03-08","Clippers",0.461,0.511,0.561,"1",0,103,112,"Lakers",0.45
"3664","2020-03-08","Heat",0.646,0.696,0.742,"1",1,100,89,"Wizards",0.45
"3665","2020-03-08","Kings",0.3,0.348,0.398,"0",0,113,118,"Raptors",0.45
"3666","2020-03-08","Knicks",0.684,0.74,0.789,"1",1,96,84,"Pistons",0.45
"3667","2020-03-08","Lakers",0.405,0.457,0.51,"0",1,112,103,"Clippers",0.45
"3668","2020-03-08","Magic",0.159,0.201,0.251,"0",1,126,106,"Rockets",0.45
"3669","2020-03-08","Mavericks",0.711,0.762,0.807,"1",0,109,112,"Pacers",0.45
"3670","2020-03-08","Nets",0.699,0.758,0.808,"1",1,110,107,"Bulls",0.45
"3671","2020-03-08","Pacers",0.177,0.217,0.263,"0",1,112,109,"Mavericks",0.45
"3672","2020-03-08","Pelicans",0.635,0.69,0.739,"1",1,120,107,"Timberwolves",0.45
"3673","2020-03-08","Pistons",0.191,0.237,0.289,"0",0,84,96,"Knicks",0.45
"3674","2020-03-08","Raptors",0.563,0.626,0.686,"1",1,118,113,"Kings",0.45
"3675","2020-03-08","Rockets",0.734,0.788,0.833,"1",0,106,126,"Magic",0.45
"3676","2020-03-08","Spurs",0.642,0.721,0.788,"1",0,129,132,"Cavaliers",0.45
"3677","2020-03-08","Suns",0.203,0.24,0.283,"0",1,140,131,"Bucks",0.45
"3678","2020-03-08","Thunder",0.193,0.236,0.284,"0",1,105,104,"Celtics",0.45
"3679","2020-03-08","Timberwolves",0.247,0.288,0.333,"0",0,107,120,"Pelicans",0.45
"3680","2020-03-08","Wizards",0.244,0.281,0.321,"0",0,89,100,"Heat",0.45
"3647","2020-03-07","76ers",0.44,0.488,0.537,"0",0,114,118,"Warriors",0.42
"3648","2020-03-07","Blazers",0.707,0.761,0.807,"1",0,111,123,"Kings",0.42
"3649","2020-03-07","Cavaliers",0.239,0.284,0.333,"0",1,104,102,"Nuggets",0.42
"3650","2020-03-07","Grizzlies",0.712,0.758,0.798,"1",1,118,101,"Hawks",0.42
"3651","2020-03-07","Hawks",0.191,0.22,0.251,"0",0,101,118,"Grizzlies",0.42
"3652","2020-03-07","Hornets",0.255,0.31,0.371,"0",1,108,99,"Rockets",0.42
"3653","2020-03-07","Jazz",0.613,0.679,0.738,"1",1,111,105,"Pistons",0.42
"3654","2020-03-07","Kings",0.184,0.218,0.257,"0",1,123,111,"Blazers",0.42
"3655","2020-03-07","Nuggets",0.636,0.695,0.747,"1",0,102,104,"Cavaliers",0.42
"3656","2020-03-07","Pistons",0.252,0.301,0.355,"0",0,105,111,"Jazz",0.42
"3657","2020-03-07","Rockets",0.602,0.673,0.737,"1",0,99,108,"Hornets",0.42
"3658","2020-03-07","Warriors",0.438,0.482,0.525,"0",1,118,114,"76ers",0.42
"3627","2020-03-06","Blazers",0.548,0.613,0.673,"1",0,117,127,"Suns",0.7
"3628","2020-03-06","Bucks",0.34,0.393,0.45,"0",0,103,113,"Lakers",0.7
"3629","2020-03-06","Bulls",0.253,0.316,0.386,"0",0,102,108,"Pacers",0.7
"3630","2020-03-06","Celtics",0.595,0.656,0.713,"1",0,94,99,"Jazz",0.7
